 ObserverTime   Thickness    Loading      Total     Observer
 0.57073E-02     -0.1600     -7.6477     -7.8077        1
 0.57282E-02     -0.1664     -6.0731     -6.2395        1
 0.57492E-02     -0.1726     -4.0926     -4.2652        1
 0.57700E-02     -0.1787     -2.2484     -2.4270        1
 0.57910E-02     -0.1846     -0.6146     -0.7991        1
 0.58119E-02     -0.1902      0.4313      0.2411        1
 0.58328E-02     -0.1958      1.1707      0.9749        1
 0.58537E-02     -0.2009      1.6334      1.4325        1
 0.58746E-02     -0.2060      1.6224      1.4165        1
 0.58955E-02     -0.2105      1.5209      1.3104        1
 0.59164E-02     -0.2149      1.3627      1.1478        1
 0.59373E-02     -0.2189      1.2012      0.9823        1
 0.59582E-02     -0.2224      1.1082      0.8858        1
 0.59791E-02     -0.2258      0.9936      0.7678        1
 0.60000E-02     -0.2284      0.9078      0.6793        1
 0.60209E-02     -0.2310      0.8466      0.6156        1
 0.60418E-02     -0.2329      0.7782      0.5453        1
 0.60627E-02     -0.2343      0.6858      0.4516        1
 0.60836E-02     -0.2355      0.5884      0.3528        1
 0.61045E-02     -0.2358      0.4966      0.2608        1
 0.61255E-02     -0.2360      0.3992      0.1632        1
 0.61464E-02     -0.2357      0.3148      0.0791        1
 0.61673E-02     -0.2346      0.2487      0.0141        1
 0.61882E-02     -0.2334      0.1920     -0.0414        1
 0.62091E-02     -0.2317      0.1390     -0.0927        1
 0.62300E-02     -0.2292      0.0802     -0.1490        1
 0.62509E-02     -0.2268      0.0114     -0.2154        1
 0.62718E-02     -0.2234     -0.0707     -0.2941        1
 0.62927E-02     -0.2198     -0.1449     -0.3647        1
 0.63136E-02     -0.2162     -0.2103     -0.4265        1
 0.63345E-02     -0.2115     -0.2546     -0.4661        1
 0.63554E-02     -0.2071     -0.2843     -0.4914        1
 0.63763E-02     -0.2020     -0.2852     -0.4872        1
 0.63972E-02     -0.1966     -0.2671     -0.4637        1
 0.64181E-02     -0.1912     -0.2569     -0.4481        1
 0.64391E-02     -0.1852     -0.2517     -0.4369        1
 0.64600E-02     -0.1794     -0.2418     -0.4212        1
 0.64809E-02     -0.1730     -0.2249     -0.3979        1
 0.65018E-02     -0.1666     -0.2160     -0.3826        1
 0.65227E-02     -0.1602     -0.2160     -0.3762        1
 0.65436E-02     -0.1533     -0.2222     -0.3755        1
 0.65645E-02     -0.1468     -0.2376     -0.3844        1
 0.65854E-02     -0.1398     -0.2542     -0.3941        1
 0.66063E-02     -0.1330     -0.2753     -0.4083        1
 0.66272E-02     -0.1262     -0.3096     -0.4358        1
 0.66481E-02     -0.1192     -0.3481     -0.4674        1
 0.66690E-02     -0.1125     -0.3887     -0.5012        1
 0.66899E-02     -0.1056     -0.4151     -0.5207        1
 0.67108E-02     -0.0988     -0.4421     -0.5408        1
 0.67317E-02     -0.0922     -0.4709     -0.5632        1
 0.67526E-02     -0.0855     -0.5086     -0.5941        1
 0.67735E-02     -0.0790     -0.5343     -0.6133        1
 0.67944E-02     -0.0727     -0.5589     -0.6316        1
 0.68154E-02     -0.0663     -0.5754     -0.6417        1
 0.68363E-02     -0.0602     -0.5841     -0.6443        1
 0.68572E-02     -0.0541     -0.5818     -0.6359        1
 0.68781E-02     -0.0482     -0.5728     -0.6210        1
 0.68990E-02     -0.0425     -0.5551     -0.5976        1
 0.69199E-02     -0.0368     -0.5311     -0.5679        1
 0.69408E-02     -0.0314     -0.4951     -0.5265        1
 0.69617E-02     -0.0261     -0.4606     -0.4867        1
 0.69826E-02     -0.0209     -0.4335     -0.4544        1
 0.70035E-02     -0.0159     -0.4143     -0.4302        1
 0.70244E-02     -0.0112     -0.4036     -0.4148        1
 0.70453E-02     -0.0064     -0.4034     -0.4098        1
 0.70662E-02     -0.0019     -0.4224     -0.4243        1
 0.70871E-02      0.0024     -0.4504     -0.4480        1
 0.71080E-02      0.0066     -0.4820     -0.4754        1
 0.71289E-02      0.0107     -0.5144     -0.5037        1
 0.71499E-02      0.0146     -0.5490     -0.5344        1
 0.71708E-02      0.0184     -0.5778     -0.5594        1
 0.71917E-02      0.0220     -0.6022     -0.5802        1
 0.72126E-02      0.0255     -0.6175     -0.5920        1
 0.72335E-02      0.0288     -0.6277     -0.5988        1
 0.72544E-02      0.0320     -0.6302     -0.5982        1
 0.72753E-02      0.0351     -0.6264     -0.5913        1
 0.72962E-02      0.0381     -0.6193     -0.5812        1
 0.73171E-02      0.0409     -0.6079     -0.5670        1
 0.73380E-02      0.0437     -0.5943     -0.5506        1
 0.73589E-02      0.0462     -0.5885     -0.5422        1
 0.73798E-02      0.0488     -0.5934     -0.5446        1
 0.74007E-02      0.0511     -0.6053     -0.5541        1
 0.74216E-02      0.0534     -0.6144     -0.5610        1
 0.74425E-02      0.0556     -0.6190     -0.5634        1
 0.74634E-02      0.0576     -0.6185     -0.5608        1
 0.74843E-02      0.0597     -0.6232     -0.5635        1
 0.75053E-02      0.0616     -0.6285     -0.5670        1
 0.75262E-02      0.0634     -0.6306     -0.5672        1
 0.75471E-02      0.0651     -0.6208     -0.5557        1
 0.75680E-02      0.0668     -0.6058     -0.5390        1
 0.75889E-02      0.0684     -0.5899     -0.5215        1
 0.76098E-02      0.0699     -0.5777     -0.5078        1
 0.76307E-02      0.0713     -0.5668     -0.4955        1
 0.76516E-02      0.0727     -0.5542     -0.4815        1
 0.76725E-02      0.0740     -0.5414     -0.4674        1
 0.76934E-02      0.0752     -0.5273     -0.4521        1
 0.77143E-02      0.0764     -0.5199     -0.4435        1
 0.77352E-02      0.0775     -0.5224     -0.4449        1
 0.77561E-02      0.0786     -0.5300     -0.4515        1
 0.77770E-02      0.0796     -0.5420     -0.4624        1
 0.77979E-02      0.0806     -0.5546     -0.4740        1
 0.78188E-02      0.0815     -0.5657     -0.4842        1
 0.78397E-02      0.0824     -0.5746     -0.4922        1
 0.78607E-02      0.0832     -0.5845     -0.5013        1
 0.78816E-02      0.0840     -0.5947     -0.5107        1
 0.79025E-02      0.0848     -0.6018     -0.5170        1
 0.79234E-02      0.0855     -0.6053     -0.5198        1
 0.79443E-02      0.0862     -0.6059     -0.5198        1
 0.79652E-02      0.0868     -0.6077     -0.5209        1
 0.79861E-02      0.0874     -0.6129     -0.5255        1
 0.80070E-02      0.0880     -0.6174     -0.5294        1
 0.80279E-02      0.0886     -0.6223     -0.5337        1
 0.80488E-02      0.0891     -0.6259     -0.5368        1
 0.80697E-02      0.0896     -0.6293     -0.5397        1
 0.80906E-02      0.0900     -0.6316     -0.5416        1
 0.81115E-02      0.0905     -0.6317     -0.5412        1
 0.81324E-02      0.0909     -0.6287     -0.5378        1
 0.81533E-02      0.0913     -0.6230     -0.5317        1
 0.81742E-02      0.0917     -0.6189     -0.5272        1
 0.81951E-02      0.0921     -0.6156     -0.5236        1
 0.82161E-02      0.0924     -0.6140     -0.5216        1
 0.82370E-02      0.0927     -0.6135     -0.5208        1
 0.82579E-02      0.0931     -0.6137     -0.5206        1
 0.82788E-02      0.0933     -0.6161     -0.5227        1
 0.82997E-02      0.0936     -0.6206     -0.5270        1
 0.83206E-02      0.0939     -0.6265     -0.5326        1
 0.83415E-02      0.0941     -0.6330     -0.5389        1
 0.83624E-02      0.0944     -0.6380     -0.5436        1
 0.83833E-02      0.0946     -0.6408     -0.5462        1
 0.84042E-02      0.0948     -0.6424     -0.5476        1
 0.84251E-02      0.0950     -0.6430     -0.5480        1
 0.84460E-02      0.0952     -0.6428     -0.5476        1
 0.84669E-02      0.0953     -0.6418     -0.5465        1
 0.84878E-02      0.0955     -0.6381     -0.5426        1
 0.85087E-02      0.0957     -0.6337     -0.5380        1
 0.85297E-02      0.0958     -0.6298     -0.5339        1
 0.85505E-02      0.0960     -0.6276     -0.5317        1
 0.85715E-02      0.0961     -0.6261     -0.5301        1
 0.85924E-02      0.0962     -0.6262     -0.5300        1
